ensembl_gene_id	hsapiens_homolog_ensembl_gene	external_gene_name
ENSRNOG00000019455	ENSG00000134262	Ap4b1
ENSRNOG00000065122	ENSG00000242028	Hypk
ENSRNOG00000064435	ENSG00000212553	LOC120100317
ENSRNOG00000065939	ENSG00000207237	LOC120100128
ENSRNOG00000070655	ENSG00000181761	Or8h10b
ENSRNOG00000070655	ENSG00000181767	Or8h10b
ENSRNOG00000070655	ENSG00000181693	Or8h10b
ENSRNOG00000013767	ENSG00000104983	Ccdc61
ENSRNOG00000013790	ENSG00000118855	Mfsd1
ENSRNOG00000015184	ENSG00000169583	Clic3
ENSRNOG00000062791	ENSG00000212380	LOC120100287
ENSRNOG00000020893	ENSG00000143376	Snx27
ENSRNOG00000032699	ENSG00000167614	Ttyh1
ENSRNOG00000070996	ENSG00000166068	Spred1
ENSRNOG00000063324	ENSG00000207392	Snora20
ENSRNOG00000063324	ENSG00000206947	Snora20
ENSRNOG00000027016	ENSG00000082438	Cobll1
ENSRNOG00000018408	ENSG00000160392	RGD1307554
ENSRNOG00000030782	ENSG00000279000	Or10a49
ENSRNOG00000030782	ENSG00000170683	Or10a49
ENSRNOG00000016421	ENSG00000077498	Tyr
ENSRNOG00000065756	ENSG00000140259	Mfap1a
ENSRNOG00000018334	ENSG00000142544	Ctu1
ENSRNOG00000070685	ENSG00000252552	Rnu6-993
ENSRNOG00000013074	ENSG00000184937	Wt1
ENSRNOG00000014726	ENSG00000215009	Acsm4
ENSRNOG00000004967	ENSG00000125870	Snrpb2
ENSRNOG00000060273	ENSG00000206776	LOC120100386
ENSRNOG00000060273	ENSG00000206799	LOC120100386
ENSRNOG00000060273	ENSG00000207503	LOC120100386
ENSRNOG00000060273	ENSG00000201384	LOC120100386
ENSRNOG00000051969	ENSG00000206910	Snora29
ENSRNOG00000023407	ENSG00000171421	Mrpl36
ENSRNOG00000035654	ENSG00000207550	Mir99b
ENSRNOG00000061890	ENSG00000149742	Ust5r
ENSRNOG00000010529	ENSG00000186340	Thbs2
ENSRNOG00000012684	ENSG00000196072	Bloc1s2
ENSRNOG00000030825	ENSG00000181718	Or5t16
ENSRNOG00000066483	ENSG00000212553	LOC120100319
ENSRNOG00000014617	ENSG00000152291	Tgoln2
ENSRNOG00000051780	ENSG00000252049	LOC120100462
ENSRNOG00000035560	ENSG00000207782	Mir150
ENSRNOG00000008980	ENSG00000127993	Rbm48
ENSRNOG00000019416	ENSG00000167380	Zfp94
ENSRNOG00000017366	ENSG00000183389	Or56a5
ENSRNOG00000007608	ENSG00000128610	Fezf1
ENSRNOG00000015294	ENSG00000148362	Paxx
ENSRNOG00000056110	ENSG00000280314	Or8k25
ENSRNOG00000028721	ENSG00000125879	Otor
ENSRNOG00000067832	ENSG00000101079	LOC120101769
ENSRNOG00000057261	ENSG00000243702	Metazoa_SRP
ENSRNOG00000063217	ENSG00000164520	Rrlt
ENSRNOG00000036631	ENSG00000183134	Ptgdr2
ENSRNOG00000066494	ENSG00000212553	LOC120100331
ENSRNOG00000016659	ENSG00000148702	Habp2
ENSRNOG00000059820	ENSG00000201133	LOC120100360
ENSRNOG00000059820	ENSG00000202183	LOC120100360
ENSRNOG00000059820	ENSG00000202434	LOC120100360
ENSRNOG00000014946	ENSG00000066654	AABR07005588.1
ENSRNOG00000009468	ENSG00000168811	Il12a
ENSRNOG00000065570	ENSG00000252138	LOC120100463
ENSRNOG00000065570	ENSG00000253065	LOC120100463
ENSRNOG00000020318	ENSG00000039650	Pnkp
ENSRNOG00000047406	ENSG00000215217	Cfap90
ENSRNOG00000050445	ENSG00000006007	Gde1
ENSRNOG00000067778	ENSG00000280314	Or8k40
ENSRNOG00000069614	ENSG00000212553	LOC120100327
ENSRNOG00000035565	ENSG00000284544	Mir330
ENSRNOG00000010628	ENSG00000157020	Sec13
ENSRNOG00000022491	ENSG00000092470	Wdr76
ENSRNOG00000051199	ENSG00000188738	Fsip2
ENSRNOG00000016597	ENSG00000171928	AABR07006081.1
ENSRNOG00000016597	ENSG00000175106	AABR07006081.1
ENSRNOG00000028095	ENSG00000267206	Lcn6
ENSRNOG00000018953	ENSG00000142273	Cblc
ENSRNOG00000018940	ENSG00000156222	Slc28a1
ENSRNOG00000068976	ENSG00000138069	
ENSRNOG00000013945	ENSG00000086544	Itpkc
ENSRNOG00000068368	ENSG00000252138	LOC120100464
ENSRNOG00000068368	ENSG00000253065	LOC120100464
ENSRNOG00000040447	ENSG00000211997	Mir708
ENSRNOG00000033706	ENSG00000129437	Klk14
ENSRNOG00000016565	ENSG00000171443	Zfp524
ENSRNOG00000009172	ENSG00000106066	Cpvl
ENSRNOG00000000096	ENSG00000174827	Pdzk1
ENSRNOG00000014385	ENSG00000134245	Wnt2b
ENSRNOG00000019138	ENSG00000105472	Clec11a
ENSRNOG00000015424	ENSG00000176925	Or51f2
ENSRNOG00000011135	ENSG00000137947	Gtf2b
ENSRNOG00000013198	ENSG00000186513	Or9q2
ENSRNOG00000035572	ENSG00000208008	Mir125a
ENSRNOG00000006731	ENSG00000152253	Spc25
ENSRNOG00000065649	ENSG00000124459	Zfp94
ENSRNOG00000065021	ENSG00000177694	Naaladl2
ENSRNOG00000014753	ENSG00000152284	Tcf7l1
ENSRNOG00000016574	ENSG00000179943	Fiz1
ENSRNOG00000068157	ENSG00000212553	LOC120100324
ENSRNOG00000032137	ENSG00000204612	Foxb2
ENSRNOG00000060473	ENSG00000201660	LOC120100368
ENSRNOG00000060473	ENSG00000252689	LOC120100368
ENSRNOG00000060473	ENSG00000206649	LOC120100368
ENSRNOG00000055608	ENSG00000124459	LOC102548695
ENSRNOG00000008282	ENSG00000135374	Elf5
ENSRNOG00000048436	ENSG00000176900	Or51t1
ENSRNOG00000013641	ENSG00000137474	Myo7a
ENSRNOG00000020347	ENSG00000110713	Nup98
ENSRNOG00000052014	ENSG00000181718	Or5t7
ENSRNOG00000011052	ENSG00000106105	Gars1
ENSRNOG00000016837	ENSG00000104879	Ckm
ENSRNOG00000025953	ENSG00000165863	LOC681006
ENSRNOG00000009792	ENSG00000169064	Zbbx
ENSRNOG00000011758	ENSG00000079150	Fkbp7
ENSRNOG00000061525	ENSG00000182170	RGD1562011
ENSRNOG00000034083	ENSG00000176895	Or51a7b
ENSRNOG00000057516	ENSG00000202017	Rnu6-806
ENSRNOG00000015821	ENSG00000116824	Cd2
ENSRNOG00000016608	ENSG00000218891	Zfp579
ENSRNOG00000027112	ENSG00000187833	MGC114499
ENSRNOG00000004679	ENSG00000182263	Fign
ENSRNOG00000012730	ENSG00000154237	Lrrk1
ENSRNOG00000018117	ENSG00000167792	Ndufv1
ENSRNOG00000063952	ENSG00000172772	Or10w1
ENSRNOG00000022837	ENSG00000075303	Slc25a40
ENSRNOG00000016362	ENSG00000177464	Gpr4
ENSRNOG00000026055	ENSG00000164600	Neurod6
ENSRNOG00000063054	ENSG00000178201	LOC108349838
ENSRNOG00000010616	ENSG00000188566	Ndor1
ENSRNOG00000017307	ENSG00000150687	Prss23
ENSRNOG00000014000	ENSG00000068796	Kif2a
ENSRNOG00000037356	ENSG00000134146	Dph6
ENSRNOG00000015649	ENSG00000176895	Or51a7
ENSRNOG00000020942	ENSG00000105559	Plekha4
ENSRNOG00000070165	ENSG00000172199	LOC120101448
ENSRNOG00000018441	ENSG00000131067	Ggt7
ENSRNOG00000008738	ENSG00000175274	Tp53i11
ENSRNOG00000067951	ENSG00000206975	LOC120100127
ENSRNOG00000061080	ENSG00000055609	Kmt2c
ENSRNOG00000017749	ENSG00000105374	Nkg7
ENSRNOG00000017079	ENSG00000165434	Pgm2l1
ENSRNOG00000017795	ENSG00000133265	Hspbp1
ENSRNOG00000052745	ENSG00000105976	Met
ENSRNOG00000028120	ENSG00000135069	AABR07011698.1
ENSRNOG00000007979	ENSG00000144362	Phospho2
ENSRNOG00000015657	ENSG00000176893	Or51g2
ENSRNOG00000052607	ENSG00000212464	Snora12
ENSRNOG00000040275	ENSG00000185863	Tmem210
ENSRNOG00000062792	ENSG00000172199	Or8u8
ENSRNOG00000004852	ENSG00000101251	Sel1l2
ENSRNOG00000042133	ENSG00000214787	LOC690862
ENSRNOG00000042133	ENSG00000110079	LOC690862
ENSRNOG00000031648	ENSG00000172362	Or5b12b
ENSRNOG00000016189	ENSG00000171877	Frmd5
ENSRNOG00000035639	ENSG00000198997	Mir107
ENSRNOG00000027542	ENSG00000154493	LOC100302465
ENSRNOG00000009548	ENSG00000254685	Fpgt
ENSRNOG00000008758	ENSG00000157570	Tspan18
ENSRNOG00000009748	ENSG00000183303	Or5p68
ENSRNOG00000037333	ENSG00000160318	Cldnd2
ENSRNOG00000064493	ENSG00000200269	Rnu6-588
ENSRNOG00000064493	ENSG00000206759	Rnu6-588
ENSRNOG00000064493	ENSG00000207518	Rnu6-588
ENSRNOG00000009258	ENSG00000105810	Cdk6
ENSRNOG00000021478	ENSG00000111907	Tpd52l1
ENSRNOG00000069157	ENSG00000163528	Chchd4
ENSRNOG00000057952	ENSG00000206754	LOC120100344
ENSRNOG00000052180	ENSG00000266794	Metazoa_SRP
ENSRNOG00000052180	ENSG00000241524	Metazoa_SRP
ENSRNOG00000015230	ENSG00000130023	Ermard
ENSRNOG00000011830	ENSG00000116095	Plekha3
ENSRNOG00000017069	ENSG00000007047	Mark4
ENSRNOG00000021013	ENSG00000166900	Stx3
ENSRNOG00000033009	ENSG00000197437	Or13g1
ENSRNOG00000067419	ENSG00000280021	Or51f1f
ENSRNOG00000061678	ENSG00000221500	Snord100
ENSRNOG00000018677	ENSG00000105221	Akt2
ENSRNOG00000059640	ENSG00000151882	Ccl28
ENSRNOG00000069344	ENSG00000172769	Or5b96
ENSRNOG00000016878	ENSG00000117598	Plppr5
ENSRNOG00000063734	ENSG00000186119	Or5d35
ENSRNOG00000054517	ENSG00000200534	Snora33
ENSRNOG00000020420	ENSG00000143627	Pklr
ENSRNOG00000056439	ENSG00000212221	Rnu6-395
ENSRNOG00000019207	ENSG00000161681	Shank1
ENSRNOG00000018394	ENSG00000054938	Chrdl2
ENSRNOG00000004645	ENSG00000136542	Galnt5
ENSRNOG00000015760	ENSG00000176798	Or51l1
ENSRNOG00000011145	ENSG00000106113	Crhr2
ENSRNOG00000013520	ENSG00000168906	Mat2a
ENSRNOG00000058157	ENSG00000179241	Ldlrad3
ENSRNOG00000016714	ENSG00000197893	Nrap
ENSRNOG00000062953	ENSG00000206922	LOC120102134
ENSRNOG00000018755	ENSG00000131069	Acss2
ENSRNOG00000035648	ENSG00000207702	Mir211
ENSRNOG00000015734	ENSG00000114062	Ube3a
ENSRNOG00000070505	ENSG00000182854	Or4f15
ENSRNOG00000067158	ENSG00000212195	LOC120100492
ENSRNOG00000067158	ENSG00000212479	LOC120100492
ENSRNOG00000056404	ENSG00000252214	Rnu6-894
ENSRNOG00000061046	ENSG00000090615	Golga3-ps1
ENSRNOG00000066619	ENSG00000169214	Or6f1
ENSRNOG00000011653	ENSG00000099290	Washc2c
ENSRNOG00000011653	ENSG00000172661	Washc2c
ENSRNOG00000056469	ENSG00000199031	Mir290
ENSRNOG00000021472	ENSG00000136541	Ermn
ENSRNOG00000066949	ENSG00000164520	
ENSRNOG00000006753	ENSG00000125780	Tgm3
ENSRNOG00000039466	ENSG00000106304	Hyal5
ENSRNOG00000067889	ENSG00000207368	Y_RNA
ENSRNOG00000067889	ENSG00000222305	Y_RNA
ENSRNOG00000066931	ENSG00000172769	Or5b100
ENSRNOG00000019023	ENSG00000113407	Tars1
ENSRNOG00000069276	ENSG00000267041	LOC102548320
ENSRNOG00000015769	ENSG00000176787	Or52e2
ENSRNOG00000069666	ENSG00000171487	
ENSRNOG00000001589	ENSG00000174279	Evx2
ENSRNOG00000052091	ENSG00000252033	Rnu6-249
ENSRNOG00000057094	ENSG00000172769	Or5b104
ENSRNOG00000024213	ENSG00000173905	Golim4
ENSRNOG00000068411	ENSG00000186113	LOC100365887
ENSRNOG00000060056	ENSG00000206896	Rnu6-859
ENSRNOG00000052444	ENSG00000205413	Samd9
ENSRNOG00000063442	ENSG00000253025	LOC120100378
ENSRNOG00000069337	ENSG00000164520	
ENSRNOG00000013102	ENSG00000054179	Npdc1
ENSRNOG00000049772	ENSG00000142252	Gemin7
ENSRNOG00000058310	ENSG00000252138	LOC120102079
ENSRNOG00000058310	ENSG00000253065	LOC120102079
ENSRNOG00000053859	ENSG00000137040	Ranbp6
ENSRNOG00000063685	ENSG00000181939	Or4c114
ENSRNOG00000018915	ENSG00000164691	Tagap
ENSRNOG00000020358	ENSG00000104960	Ptov1
ENSRNOG00000054102	ENSG00000280894	LOC120100468
ENSRNOG00000058869	ENSG00000102898	AABR07006740.1
ENSRNOG00000053502	ENSG00000110237	Arhgef17
ENSRNOG00000065888	ENSG00000202095	Rnu6-525
ENSRNOG00000021442	ENSG00000111906	Hddc2
ENSRNOG00000050321	ENSG00000036549	Zzz3
ENSRNOG00000020307	ENSG00000179902	Cfap276
ENSRNOG00000017291	ENSG00000140263	Sord
ENSRNOG00000014278	ENSG00000140548	Zfp710
ENSRNOG00000009571	ENSG00000122574	Wipf3
ENSRNOG00000049605	ENSG00000170684	Zfp296
ENSRNOG00000008663	ENSG00000135372	Nat10
ENSRNOG00000063802	ENSG00000212553	LOC120100330
ENSRNOG00000022921	ENSG00000164488	Dact2
ENSRNOG00000015902	ENSG00000121898	Cpxm2
ENSRNOG00000020624	ENSG00000196177	Acadsb
ENSRNOG00000069696	ENSG00000162191	
ENSRNOG00000060363	ENSG00000212207	Rnu6-946
ENSRNOG00000013981	ENSG00000110786	Ptpn5
ENSRNOG00000015928	ENSG00000101452	Dhx35
ENSRNOG00000019942	ENSG00000269190	Fbxo17
ENSRNOG00000021912	ENSG00000175514	Gpr152
ENSRNOG00000030818	ENSG00000180878	C1h11orf42
ENSRNOG00000043114	ENSG00000196683	Tomm7
ENSRNOG00000055223	ENSG00000221241	LOC120100474
ENSRNOG00000067758	ENSG00000253598	Slc10a5
ENSRNOG00000017930	ENSG00000153395	Lpcat1
ENSRNOG00000071163	ENSG00000225523	
ENSRNOG00000071163	ENSG00000211611	
ENSRNOG00000071163	ENSG00000211626	
ENSRNOG00000070274	ENSG00000241128	Or14a258
ENSRNOG00000006397	ENSG00000184984	Chrm5
ENSRNOG00000052241	ENSG00000199226	Rnu6-959
ENSRNOG00000006803	ENSG00000077232	Dnajc10
ENSRNOG00000049057	ENSG00000180233	Znrf2
ENSRNOG00000019869	ENSG00000128011	Lrfn1
ENSRNOG00000063801	ENSG00000164520	
ENSRNOG00000013208	ENSG00000172377	Or9i14
ENSRNOG00000007234	ENSG00000001630	Cyp51
ENSRNOG00000055161	ENSG00000273885	LOC120100394
ENSRNOG00000023411	ENSG00000186806	Vsig10l
ENSRNOG00000046005	ENSG00000099194	Scd2
ENSRNOG00000054718	ENSG00000207490	LOC120100194
ENSRNOG00000018686	ENSG00000168488	Atxn2l
ENSRNOG00000019671	ENSG00000081019	Rsbn1
ENSRNOG00000066942	ENSG00000126267	Cox6b1
ENSRNOG00000068139	ENSG00000179134	Samd4b
ENSRNOG00000066980	ENSG00000199348	Rnu6-317
ENSRNOG00000058906	ENSG00000080031	Ptprh
ENSRNOG00000010342	ENSG00000104231	Zfand1
ENSRNOG00000064878	ENSG00000181958	Or4a15b
ENSRNOG00000055168	ENSG00000221303	LOC120102092
ENSRNOG00000007416	ENSG00000172409	Clp1
ENSRNOG00000053089	ENSG00000221639	LOC120100352
ENSRNOG00000053089	ENSG00000221148	LOC120100352
ENSRNOG00000053089	ENSG00000221719	LOC120100352
ENSRNOG00000053089	ENSG00000212607	LOC120100352
ENSRNOG00000052503	ENSG00000200703	Rnu6-81
ENSRNOG00000065602	ENSG00000087086	Ftl1-ps14
ENSRNOG00000009176	ENSG00000075975	Mkrn2
ENSRNOG00000016179	ENSG00000153093	Acoxl
ENSRNOG00000025141	ENSG00000088970	Kiz
ENSRNOG00000017408	ENSG00000051009	Fhip1b
ENSRNOG00000037393	ENSG00000166359	Wdr88
ENSRNOG00000021794	ENSG00000174276	Znhit2
ENSRNOG00000018964	ENSG00000100983	Gss
ENSRNOG00000013949	ENSG00000182054	Idh2
ENSRNOG00000046734	ENSG00000106038	Evx1
ENSRNOG00000033543	ENSG00000181273	Or5ak25
ENSRNOG00000033543	ENSG00000181282	Or5ak25
ENSRNOG00000067740	ENSG00000211598	RGD1564696
ENSRNOG00000016103	ENSG00000145506	Nkd2
ENSRNOG00000034012	ENSG00000186474	Klk12
ENSRNOG00000069900	ENSG00000166793	Ypel4
ENSRNOG00000013282	ENSG00000175471	Mctp1
ENSRNOG00000055001	ENSG00000200983	Snora3
ENSRNOG00000009555	ENSG00000162620	Lrriq3
ENSRNOG00000020643	ENSG00000154473	Bub3
ENSRNOG00000018217	ENSG00000129990	Syt5
ENSRNOG00000033863	ENSG00000232434	Ajm1
ENSRNOG00000070200	ENSG00000206776	LOC120100384
ENSRNOG00000070200	ENSG00000206799	LOC120100384
ENSRNOG00000070200	ENSG00000207503	LOC120100384
ENSRNOG00000070200	ENSG00000201384	LOC120100384
ENSRNOG00000006419	ENSG00000169857	Aven
ENSRNOG00000057923	ENSG00000201998	Snora23
ENSRNOG00000058790	ENSG00000112584	Fam120b
ENSRNOG00000047508	ENSG00000167900	AC112350.1
ENSRNOG00000020371	ENSG00000148985	Pgap2
ENSRNOG00000043106	ENSG00000233436	Btbd18
ENSRNOG00000064115	ENSG00000206776	LOC120100382
ENSRNOG00000064115	ENSG00000206799	LOC120100382
ENSRNOG00000064115	ENSG00000207503	LOC120100382
ENSRNOG00000064115	ENSG00000201384	LOC120100382
ENSRNOG00000014996	ENSG00000186625	Katna1
ENSRNOG00000067296	ENSG00000197016	LOC108348090
ENSRNOG00000064765	ENSG00000206755	Snora30
ENSRNOG00000018742	ENSG00000167757	Klk11
ENSRNOG00000006675	ENSG00000163586	Fabp1
ENSRNOG00000069709	ENSG00000215717	Tmem167b
ENSRNOG00000058967	ENSG00000200525	Rnu6-1168
ENSRNOG00000017914	ENSG00000170955	Cavin3
ENSRNOG00000061806	ENSG00000206776	LOC120100385
ENSRNOG00000061806	ENSG00000206799	LOC120100385
ENSRNOG00000061806	ENSG00000207503	LOC120100385
ENSRNOG00000061806	ENSG00000201384	LOC120100385
ENSRNOG00000014705	ENSG00000203867	Rbm20
ENSRNOG00000016993	ENSG00000181609	Or52d1
ENSRNOG00000055479	ENSG00000238898	Rnu1-140
ENSRNOG00000057436	ENSG00000199892	Rnu1-18
ENSRNOG00000013886	ENSG00000082074	Fyb1
ENSRNOG00000047137	ENSG00000112851	Erbin
ENSRNOG00000016812	ENSG00000145536	Adamts16
ENSRNOG00000009932	ENSG00000140563	Mctp2
ENSRNOG00000000095	ENSG00000117262	Gpr89b
ENSRNOG00000000095	ENSG00000188092	Gpr89b
ENSRNOG00000011195	ENSG00000180228	Prkra
ENSRNOG00000022353	ENSG00000167759	Klk13
ENSRNOG00000026059	ENSG00000160781	Paqr6
ENSRNOG00000026440	ENSG00000183304	RGD1559891
ENSRNOG00000026440	ENSG00000177138	RGD1559891
ENSRNOG00000026440	ENSG00000187268	RGD1559891
ENSRNOG00000067894	ENSG00000211598	
ENSRNOG00000018997	ENSG00000078814	Myh7b
ENSRNOG00000020865	ENSG00000131620	Ano1
ENSRNOG00000020714	ENSG00000130529	Trpm4
ENSRNOG00000015825	ENSG00000105146	Aurkc
ENSRNOG00000013069	ENSG00000186193	Sapcd2
ENSRNOG00000050343	ENSG00000152409	Jmy
ENSRNOG00000009152	ENSG00000135387	Caprin1
ENSRNOG00000069475	ENSG00000201441	Rnu6-480
ENSRNOG00000058927	ENSG00000201725	LOC120100185
ENSRNOG00000018491	ENSG00000125611	Chchd5
ENSRNOG00000006030	ENSG00000106278	Ptprz1
ENSRNOG00000013314	ENSG00000105778	Avl9
ENSRNOG00000031086	ENSG00000134717	RGD1563931
ENSRNOG00000016872	ENSG00000117600	Plppr4
ENSRNOG00000017016	ENSG00000175518	Ubqlnl
ENSRNOG00000014840	ENSG00000156049	Gna14
ENSRNOG00000064970	ENSG00000197016	Zfp939
ENSRNOG00000068593	ENSG00000200492	LOC120102119
ENSRNOG00000068593	ENSG00000212165	LOC120102119
ENSRNOG00000062632	ENSG00000181939	Olr673
ENSRNOG00000057480	ENSG00000239194	LOC120100278
ENSRNOG00000004784	ENSG00000101247	Ndufaf5
ENSRNOG00000025060	ENSG00000188613	Nanos1
ENSRNOG00000010153	ENSG00000132155	Raf1
ENSRNOG00000012580	ENSG00000163492	Ccdc141
ENSRNOG00000030127	ENSG00000125746	Eml2
ENSRNOG00000046947	ENSG00000154027	Ak5
ENSRNOG00000027098	ENSG00000174938	Sez6l2
ENSRNOG00000017138	ENSG00000181616	Or52h1
ENSRNOG00000005162	ENSG00000101435	Cst9l
ENSRNOG00000067634	ENSG00000181939	Or4c112b
ENSRNOG00000017311	ENSG00000151376	Me3
ENSRNOG00000057196	ENSG00000200304	Rnu6-897
ENSRNOG00000020131	ENSG00000212722	Krtap5-8
ENSRNOG00000020131	ENSG00000212721	Krtap5-8
ENSRNOG00000020131	ENSG00000241241	Krtap5-8
ENSRNOG00000020131	ENSG00000171396	Krtap5-8
ENSRNOG00000020131	ENSG00000204880	Krtap5-8
ENSRNOG00000020131	ENSG00000188155	Krtap5-8
ENSRNOG00000020131	ENSG00000221837	Krtap5-8
ENSRNOG00000020131	ENSG00000198443	Krtap5-8
ENSRNOG00000020131	ENSG00000244537	Krtap5-8
ENSRNOG00000020131	ENSG00000243489	Krtap5-8
ENSRNOG00000020131	ENSG00000215454	Krtap5-8
ENSRNOG00000020131	ENSG00000212724	Krtap5-8
ENSRNOG00000020131	ENSG00000212725	Krtap5-8
ENSRNOG00000020131	ENSG00000213417	Krtap5-8
ENSRNOG00000020131	ENSG00000214518	Krtap5-8
ENSRNOG00000020131	ENSG00000240542	Krtap5-8
ENSRNOG00000020131	ENSG00000198271	Krtap5-8
ENSRNOG00000019270	ENSG00000171631	P2ry6
ENSRNOG00000066986	ENSG00000267041	Zfp619
ENSRNOG00000010517	ENSG00000122591	Hycc1
ENSRNOG00000018762	ENSG00000130363	Rsph3
ENSRNOG00000057414	ENSG00000202034	Rnu6-982
ENSRNOG00000066577	ENSG00000211598	
ENSRNOG00000015956	ENSG00000131864	Usp29
ENSRNOG00000018019	ENSG00000165868	Hspa12a
ENSRNOG00000032002	ENSG00000145681	Hapln1
ENSRNOG00000046036	ENSG00000148841	Itprip
ENSRNOG00000015268	ENSG00000205808	Plpp6
ENSRNOG00000010482	ENSG00000133731	Impa1
ENSRNOG00000015226	ENSG00000198162	Man1a2
ENSRNOG00000019152	ENSG00000100991	Trpc4ap
ENSRNOG00000059349	ENSG00000200484	LOC120101953
ENSRNOG00000016372	ENSG00000113504	Slc12a7
ENSRNOG00000060031	ENSG00000200259	Snord35a
ENSRNOG00000065201	ENSG00000197617	Vom1r88
ENSRNOG00000070069	ENSG00000181939	Or4c110
ENSRNOG00000017376	ENSG00000138684	Il21
ENSRNOG00000055560	ENSG00000201675	LOC120100339
ENSRNOG00000055560	ENSG00000201330	LOC120100339
ENSRNOG00000019296	ENSG00000134183	Gnat2
ENSRNOG00000058451	ENSG00000252148	LOC120100203
ENSRNOG00000058451	ENSG00000252769	LOC120100203
ENSRNOG00000058451	ENSG00000283564	LOC120100203
ENSRNOG00000058451	ENSG00000212190	LOC120100203
ENSRNOG00000058451	ENSG00000222869	LOC120100203
ENSRNOG00000004783	ENSG00000144369	Fam171b
ENSRNOG00000049759	ENSG00000022556	Nlrp2
ENSRNOG00000070824	ENSG00000252325	Rnu6-891
ENSRNOG00000070824	ENSG00000200407	Rnu6-891
ENSRNOG00000068327	ENSG00000105185	Pdcd5
ENSRNOG00000019812	ENSG00000131408	Nr1h2
ENSRNOG00000013448	ENSG00000172938	Mrgprd
ENSRNOG00000042814	ENSG00000162639	Henmt1
ENSRNOG00000050486	ENSG00000273514	Foxd4
ENSRNOG00000050486	ENSG00000187559	Foxd4
ENSRNOG00000050486	ENSG00000170122	Foxd4
ENSRNOG00000050486	ENSG00000184492	Foxd4
ENSRNOG00000050486	ENSG00000204779	Foxd4
ENSRNOG00000050486	ENSG00000184659	Foxd4
ENSRNOG00000060311	ENSG00000202503	LOC120100340
ENSRNOG00000064747	ENSG00000183303	Or5p72
ENSRNOG00000061414	ENSG00000172497	Acot12
ENSRNOG00000025940	ENSG00000197006	Mettl9
ENSRNOG00000063356	ENSG00000272987	Or5al5b
ENSRNOG00000059590	ENSG00000212170	LOC120100223
ENSRNOG00000060569	ENSG00000201457	LOC120102020
