ensembl_gene_id	external_gene_name	transcription_start_site
ENSG00000116954	RRAGC	38859772
ENSG00000163873	GRIK3	37034515
ENSG00000117215	PLA2G2D	20119536
ENSG00000044012	GUCA2B	42153410
ENSG00000179051	RCC2	17439677
ENSG00000126067	PSMB2	35641526
ENSG00000274944		38881602
ENSG00000054118	THRAP3	36224443
ENSG00000276747	PADI6	17372196
ENSG00000159339	PADI4	17308197
ENSG00000158315	RHBDL2	38941830
ENSG00000186973	CFAP144	43147904
ENSG00000146463	ZMYM4	35268709
ENSG00000142686	C1orf216	35718884
ENSG00000117148	ACTL8	17755333
ENSG00000117000	RLF	40161387
ENSG00000092853	CLSPN	35769978
ENSG00000134697	GNL2	37595937
ENSG00000187513	GJA4	34792999
ENSG00000116151	MORN1	2391554
ENSG00000006555	TTC22	54801323
ENSG00000066056	TIE1	43300982
ENSG00000214114	MYCBP	38873348
ENSG00000116544	DLGAP3	34929650
ENSG00000117016	RIMS3	40665682
ENSG00000169213	RAB3B	51990700
ENSG00000163866	SMIM12	34859749
ENSG00000162384	CZIB	53220634
ENSG00000162391	FAM151A	54623525
ENSG00000117859	OSBPL9	51617092
ENSG00000253313	C1orf210	43285581
ENSG00000162396	PARS2	54764523
ENSG00000162378	ZYG11B	52726453
ENSG00000240563	L1TD1	62194849
ENSG00000284773		34985313
ENSG00000117862	TXNDC12	52055191
ENSG00000243725	TTC4	54715861
ENSG00000171872	KLF17	44118821
ENSG00000162407	PLPP3	56579563
ENSG00000163877	SNIP1	37554293
ENSG00000157184	CPT2	53196824
ENSG00000198815	FOXJ3	42335235
ENSG00000134744	TUT4	52553092
ENSG00000283039	KLF18	44141631
ENSG00000162385	MAGOH	53238518
ENSG00000123080	CDKN2C	50970245
ENSG00000162598	C1orf87	60073770
ENSG00000162415	ZSWIM5	45206605
ENSG00000162600	OMA1	58546726
ENSG00000116704	SLC35D1	67054148
ENSG00000157193	LRP8	53328070
ENSG00000116205	TCEANC2	54053608
ENSG00000198841	KTI12	52033810
ENSG00000116212	LRRC42	53946350
ENSG00000132854	KANK4	62319434
ENSG00000162607	USP1	62437049
ENSG00000154027	AK5	77282019
ENSG00000137960	GIPC2	78045966
ENSG00000116745	RPE65	68449954
ENSG00000132855	ANGPTL3	62597520
ENSG00000116675	DNAJC6	65309543
ENSG00000162433	AK4	65148203
ENSG00000213625	LEPROT	65420668
ENSG00000158966	CACHD1	64470129
ENSG00000203965	EFCAB7	63523525
ENSG00000153898	MCOLN2	84997113
ENSG00000117069	ST6GALNAC5	76867480
ENSG00000125703	ATG4C	62784132
ENSG00000162618	ADGRL4	79006730
ENSG00000131233	GJA9	38881587
ENSG00000137941	TTLL7	83999132
ENSG00000066135	KDM4A	43650149
ENSG00000284895		41628816
ENSG00000117174	ZNHIT6	85708433
ENSG00000184313	MROH7	54641786
ENSG00000122420	PTGFR	78490974
ENSG00000143013	LMO4	87328880
ENSG00000134748	PRPF38A	52404602
ENSG00000142892	PIGK	77219430
ENSG00000197273	GUCA2A	42164745
ENSG00000116641	DOCK7	62688386
ENSG00000172260	NEGR1	72282539
ENSG00000137944	KYAT3	88992629
ENSG00000182183	SHISAL2A	52633168
ENSG00000067334	DNTTIP2	93879206
ENSG00000142949	PTPRF	43530883
ENSG00000116133	DHCR24	54887195
ENSG00000171502	COL24A1	86156772
ENSG00000116157	GPX7	52602371
ENSG00000143036	SLC44A3	94820357
ENSG00000065243	PKN2	88684273
ENSG00000117528	ABCD3	94418389
ENSG00000172339	ALG14	95072951
ENSG00000036549	ZZZ3	77682658
ENSG00000058799	YIPF1	53889797
ENSG00000203985	LDLRAD1	54018186
ENSG00000283761		99970018
ENSG00000189433	GJB4	34759740
ENSG00000179178	TMEM125	43269983
ENSG00000142700	DMRTA2	50423443
ENSG00000127124	HIVEP3	41918922
ENSG00000137936	BCAR3	93681837
ENSG00000143032	BARHL2	90717302
ENSG00000117519	CNN3	94927110
ENSG00000134215	VAV3	107965180
ENSG00000188641	DPYD	97921034
ENSG00000152078	TLCD4	95117355
ENSG00000171492	LRRC8D	89821032
ENSG00000170989	S1PR1	101237019
ENSG00000116299	ELAPOR1	109114115
ENSG00000137962	ARHGAP29	94237584
ENSG00000079739	PGM1	63593411
ENSG00000117154	IGSF21	18107798
ENSG00000162377	COA7	52698347
ENSG00000116774	OLFML3	113979474
ENSG00000023909	GCLM	93909430
ENSG00000069702	TGFBR3	91886151
ENSG00000198198	SZT2	43389899
ENSG00000116793	PHTF1	113759486
ENSG00000117525	F3	94541759
ENSG00000162692	VCAM1	100719742
ENSG00000181656	GPR88	100538139
ENSG00000122481	RWDD3	95234210
ENSG00000198162	MAN1A2	117367449
ENSG00000171517	LPAR3	84893206
ENSG00000143079	CTTNBP2NL	112396214
ENSG00000085491	SLC25A24	108200343
ENSG00000173947	PIFO	111346622
ENSG00000134198	TSPAN2	115089503
ENSG00000198799	LRIG2	113073198
ENSG00000117620	SLC35A3	99969996
ENSG00000162688	AGL	99850361
ENSG00000197106	SLC6A17	110150494
ENSG00000203859	HSD3B2	119415150
ENSG00000185946	RNPC3	103525699
ENSG00000162627	SNX7	98661721
ENSG00000162695	SLC30A7	100896090
ENSG00000265808	SEC22B	120176520
ENSG00000134247	PTGFRN	116909916
ENSG00000162664	ZNF326	89995110
ENSG00000134253	TRIM45	117121749
ENSG00000183508	TENT5C	117606048
ENSG00000198765	SYCP1	114854863
ENSG00000143398	PIP5K1A	151198552
ENSG00000196505	GDAP2	117929621
ENSG00000134200	TSHB	115029826
ENSG00000065183	WDR3	117929739
ENSG00000163393	SLC22A15	115976513
ENSG00000163156	SCNM1	151166144
ENSG00000143631	FLG	152325239
ENSG00000079335	CDC14A	100352506
ENSG00000143119	CD53	110873148
ENSG00000143520	FLG2	152360006
ENSG00000171943	SRGAP2C	121184975
ENSG00000155761	SPAG17	118185228
ENSG00000116830	TTF2	117060326
ENSG00000081026	MAGI3	113390515
ENSG00000143458	GABPB2	151070761
ENSG00000073754	CD5L	157841808
ENSG00000163155	LYSMD1	151165902
ENSG00000116824	CD2	116754430
ENSG00000024526	DEPDC1	68497082
ENSG00000117262	GPR89A	145607988
ENSG00000137947	GTF2B	88891567
ENSG00000117586	TNFSF4	173207331
ENSG00000162728	KCNJ9	160081538
ENSG00000184371	CSF1	109910849
ENSG00000163154	TNFAIP8L2	151156649
ENSG00000162729	IGSF8	160098619
ENSG00000143158	MPC2	167937072
ENSG00000271092	TLCD4-RWDD3	95117923
ENSG00000000460	C1orf112	169795040
ENSG00000135862	LAMC1	183023420
ENSG00000143198	MGST3	165631234
ENSG00000143318	CASQ1	160190575
ENSG00000143621	ILF2	153670993
ENSG00000143156	NME7	169367797
ENSG00000198771	RCSD1	167630232
ENSG00000213064	SFT2D2	168226004
ENSG00000143179	UCK2	165827614
ENSG00000143315	PIGM	160031990
ENSG00000143185	XCL2	168543997
ENSG00000143190	POU2F1	167220886
ENSG00000075945	KIFAP3	170074695
ENSG00000092607	TBX15	118988343
ENSG00000117091	CD48	160711822
ENSG00000143171	RXRG	165445126
ENSG00000047410	TPR	186375253
ENSG00000018625	ATP1A2	160115759
ENSG00000171806	METTL18	169794907
ENSG00000134216	CHIA	111290851
ENSG00000162694	EXTL2	100894842
ENSG00000118197	DDX59	200669907
ENSG00000135842	NIBAN1	184974508
ENSG00000184155	OR10J5	159536007
ENSG00000058085	LAMC2	183186264
ENSG00000116815	CD58	116571026
ENSG00000143167	GPA33	167090377
ENSG00000143184	XCL1	168576605
ENSG00000177807	KCNJ10	160070160
ENSG00000143228	NUF2	163321954
ENSG00000174514	MFSD4A	205569014
ENSG00000143178	TBX19	168280877
ENSG00000116833	NR5A2	200027710
ENSG00000000457	SCYL3	169893896
ENSG00000143507	DUSP10	221742089
ENSG00000157064	NMNAT2	183418380
ENSG00000059588	TARBP1	234479179
ENSG00000122224	LY9	160796174
ENSG00000162782	TDRD5	179591832
ENSG00000143653	SCCPDH	246724409
ENSG00000158711	ELK4	205632011
ENSG00000162851	TFB2M	246566261
ENSG00000143353	LYPLAL1	219173878
ENSG00000197965	MPZL1	167721982
ENSG00000143493	INTS7	212035557
ENSG00000179397	CATSPERE	244461273
ENSG00000117592	PRDX6	173477335
ENSG00000186197	EDARADD	236394286
ENSG00000162670	BRINP3	190477864
ENSG00000162761	LMX1A	165356715
ENSG00000143199	ADCY10	167914134
ENSG00000007908	SELE	169734079
ENSG00000092978	GPATCH2	217631090
ENSG00000143499	SMYD2	214281159
ENSG00000188404	SELL	169711620
ENSG00000143196	DPT	168729206
ENSG00000203697	CAPN8	223665701
ENSG00000116574	RHOU	228735479
ENSG00000121481	RNF2	185045558
ENSG00000143248	RGS5	163202916
ENSG00000162814	SPATA17	217631344
ENSG00000116132	PRRX1	170664131
ENSG00000116679	IVNS1ABP	185317243
ENSG00000152092	ASTN1	177164712
ENSG00000143476	DTL	212035748
ENSG00000121486	TRMT1L	185156953
ENSG00000057252	SOAT1	179293797
ENSG00000162852	CNST	246566456
ENSG00000143842	SOX13	204073115
ENSG00000116962	NID1	236065090
ENSG00000181450	ZNF678	227563556
ENSG00000162753	SLC9C2	173603072
ENSG00000143355	LHX9	197917372
ENSG00000121644	DESI2	244653126
ENSG00000174502	SLC26A9	205943456
ENSG00000158715	SLC45A3	205680509
ENSG00000143195	ILDR2	166975540
ENSG00000162849	KIF26B	245154985
ENSG00000067533	RRP15	218285293
ENSG00000116209	TMEM59	54053204
ENSG00000152104	PTPN14	214551602
ENSG00000117650	NEK2	211675621
ENSG00000203724	C1orf53	197902630
ENSG00000158764	ITLN2	160954809
ENSG00000168118	RAB4A	229271111
ENSG00000173726	TOMM20	235128837
ENSG00000152382	TADA1	166876264
ENSG00000143839	REN	204166337
ENSG00000135829	DHX9	182839347
ENSG00000134717	BTF3L4	52056295
ENSG00000116668	SWT1	185157167
ENSG00000143207	COP1	176207286
ENSG00000026751	SLAMF7	160739247
ENSG00000150681	RGS18	192158462
ENSG00000116906	GNPAT	231241212
ENSG00000092969	TGFB2	218345336
ENSG00000157181	ODR4	186375838
ENSG00000076258	FMO4	171314183
ENSG00000117697	NSL1	212791777
ENSG00000162669	HFM1	91404837
ENSG00000132681	ATP1A4	160151603
ENSG00000143641	GALNT2	230067238
ENSG00000010932	FMO1	171248494
ENSG00000010072	SPRTN	231338293
ENSG00000135766	EGLN1	231422287
ENSG00000163534	FCRL1	157820120
ENSG00000168243	GNG4	235649784
ENSG00000116183	PAPPA2	176463175
ENSG00000170382	LRRN2	204685738
ENSG00000066027	PPP2R5A	212285410
ENSG00000173728	C1orf100	244352635
ENSG00000135828	RNASEL	182589256
ENSG00000185523	SPATA45	212847649
ENSG00000116711	PLA2G4A	186828949
ENSG00000143845	ETNK2	204152044
ENSG00000157060	SHCBP1L	182953166
ENSG00000123684	LPGAT1	211830763
ENSG00000123836	PFKFB2	207053275
ENSG00000287856		231528602
ENSG00000203705	TATDN3	212791894
ENSG00000174175	SELP	169630124
ENSG00000008118	CAMK1G	209583714
ENSG00000171161	ZNF672	248838224
ENSG00000196878	LAMB3	209652425
ENSG00000074964	ARHGEF10L	17539698
ENSG00000198929	NOS1AP	162069691
ENSG00000174606	ANGEL2	213015867
ENSG00000179914	ITLN1	160885180
ENSG00000121446	RGSL1	182450146
ENSG00000116903	EXOC8	231337852
ENSG00000198797	BRINP2	177170958
ENSG00000151414	NEK7	198156998
ENSG00000177614	PGBD5	230426332
ENSG00000183831	ANKRD45	173669851
ENSG00000197472	ZNF695	247008057
ENSG00000136643	RPS6KC1	213051241
ENSG00000162877	PM20D1	205850132
ENSG00000069248	NUP133	229508341
ENSG00000253148	RGS21	192316992
ENSG00000090104	RGS1	192575773
ENSG00000185220	PGBD2	248906235
ENSG00000162769	FLVCR1	212858275
ENSG00000133065	SLC41A1	205813198
ENSG00000042781	USH2A	216423448
ENSG00000277462	ZNF670	247078811
ENSG00000035687	ADSS2	244451909
ENSG00000180287	PLD5	242524697
ENSG00000230124	ACBD6	180502577
ENSG00000007341	ST7L	112619141
ENSG00000143324	XPR1	180632022
ENSG00000118193	KIF14	200620751
ENSG00000198842	STYXL2	167094075
ENSG00000198756	COLGALT2	184037728
ENSG00000054282	SDCCAG8	243256041
ENSG00000183780	SLC35F3	233904676
ENSG00000162702	ZNF281	200410036
ENSG00000143194	MAEL	166989280
ENSG00000054267	ARID4B	235328179
ENSG00000175137	SH3BP5L	248825915
ENSG00000134245	WNT2B	112508965
ENSG00000069275	NUCKS1	205750182
ENSG00000187889	FYB2	56819404
ENSG00000097046	CDC7	91500851
ENSG00000232113	TEX50	173635338
ENSG00000203737	GPR52	174447964
ENSG00000185420	SMYD3	246507279
ENSG00000076321	KLHL20	173714981
ENSG00000117280	RAB29	205775482
ENSG00000136636	KCTD3	215567304
ENSG00000163874	ZC3H12A	37474580
ENSG00000054392	HHAT	210328902
ENSG00000122223	CD244	160862887
ENSG00000188739	RBM34	235161250
ENSG00000203730	TEDDM1	182400667
ENSG00000143341	HMCN1	185734391
ENSG00000116703	PDC	186461114
ENSG00000162545	CAMK2N1	20486210
ENSG00000090432	MUL1	20508151
ENSG00000183114	FAM43B	20552573
ENSG00000158825	CDA	20589097
ENSG00000158828	PINK1	20633458
ENSG00000134371	CDC73	193122031
ENSG00000162630	B3GALT2	193186613
ENSG00000066557	LRRC40	70205579
ENSG00000118454	ANKRD13C	70354722
ENSG00000116761	CTH	70411268
ENSG00000007968	E2F2	23531233
ENSG00000117318	ID3	23559501
ENSG00000142676	RPL11	23691806
ENSG00000057757	PITHD1	23778418
ENSG00000011009	LYPLA2	23791145
ENSG00000117308	GALE	23800754
ENSG00000132703	APCS	159587826
ENSG00000132693	CRP	159714589
ENSG00000158716	DUSP23	159780962
ENSG00000181036	FCRL6	159802360
ENSG00000158714	SLAMF8	159826873
ENSG00000243284	VSIG8	159862657
ENSG00000213085	CFAP45	159900165
ENSG00000162723	SLAMF9	159954237
ENSG00000163399	ATP1A1	116373244
ENSG00000177888	ZBTB41	197201293
ENSG00000243364	EFNA4	155063740
ENSG00000251246	EFNA4-EFNA3	155063748
ENSG00000143590	EFNA3	155078837
ENSG00000169242	EFNA1	155127876
ENSG00000169241	SLC50A1	155135852
ENSG00000163463	KRTCAP2	155173304
ENSG00000273088		155187272
ENSG00000169231	THBS3	155207897
ENSG00000177628	GBA1	155241249
ENSG00000116521	SCAMP3	155262360
ENSG00000176444	CLK2	155273504
ENSG00000143630	HCN3	155277463
ENSG00000143627	PKLR	155301438
ENSG00000197721	CR1L	207645133
ENSG00000174059	CD34	207911125
ENSG00000142657	PGD	10399064
ENSG00000251503	CENPS-CORT	10430435
ENSG00000175279	CENPS	10430433
ENSG00000160049	DFFA	10472529
ENSG00000122188	LAX1	203765183
ENSG00000288644		203802094
ENSG00000182004	SNRPE	203861599
ENSG00000130768	SMPDL3B	27935000
ENSG00000158156	XKR8	27959973
ENSG00000182118	FAM89A	231040254
ENSG00000143633	C1orf131	231241175
ENSG00000132773	TOE1	45340170
ENSG00000070759	TESK2	45491163
ENSG00000280670	CCDC163	45500073
ENSG00000132763	MMACHC	45500300
ENSG00000169224	GCSAML	247549134
ENSG00000177489	OR2G2	247588360
ENSG00000177476	OR2G3	247605586
ENSG00000133019	CHRM3	239386568
ENSG00000162636	EEIG2	108560100
ENSG00000162639	HENMT1	108661093
ENSG00000134186	PRPF38B	108692310
ENSG00000143107	FNDC7	108712908
ENSG00000116266	STXBP3	108746674
ENSG00000215717	TMEM167B	109090764
ENSG00000132676	DAP3	155689091
ENSG00000132718	SYT11	155859567
ENSG00000132680	KHDC4	155934413
ENSG00000163479	SSR2	156020951
ENSG00000160803	UBQLN4	156053798
ENSG00000132698	RAB25	156061160
ENSG00000260238	PMF1-BGLAP	156212982
ENSG00000242252	BGLAP	156242184
ENSG00000198952	SMG5	156282825
ENSG00000163472	TMEM79	156284325
ENSG00000163468	CCT3	156338292
ENSG00000132677	RHBG	156369211
ENSG00000254726	MEX3A	156082465
ENSG00000186377	CYP4X1	47023669
ENSG00000186160	CYP4Z1	47067231
ENSG00000162366	PDZK1IP1	47190036
ENSG00000186790	FOXE3	47416285
ENSG00000189030	VHLL	156299307
ENSG00000162763	LRRC52	165544000
ENSG00000143061	IGSF3	116667733
ENSG00000135821	GLUL	182391790
ENSG00000203740	NTMT2	170145959
ENSG00000162374	ELAVL4	50108920
ENSG00000168275	COA6	234373456
ENSG00000241563	CORT	10450031
ENSG00000153207	AHCTF1	246931948
ENSG00000156869	FRRS1	99766635
ENSG00000033122	LRRC7	69567922
ENSG00000143278	F13B	197067260
ENSG00000116678	LEPR	65420668
ENSG00000159352	PSMD4	151254734
ENSG00000158710	TAGLN2	159925507
ENSG00000162734	PEA15	160205384
ENSG00000049239	H6PD	9234774
ENSG00000186564	FOXD2	47438044
ENSG00000244038	DDOST	20661369
ENSG00000116690	PRG4	186296279
ENSG00000126091	ST3GAL3	43707536
ENSG00000171163	ZNF692	248859085
ENSG00000172456	FGGY	59297094
ENSG00000158786	PLA2G2F	20139323
ENSG00000118733	OLFM3	101996926
ENSG00000157870	PRXL2B	2586777
ENSG00000179085	DPM3	155140531
ENSG00000173080	RXFP4	155941638
ENSG00000120937	NPPB	11858945
ENSG00000083444	PLOD1	11934717
ENSG00000116691	MIIP	12019498
ENSG00000120949	TNFRSF8	12063303
ENSG00000162521	RBBP4	32651208
ENSG00000162520	SYNC	32702770
ENSG00000162522	KIAA1522	32741830
ENSG00000116497	S100PBP	32817653
ENSG00000121905	HPCA	32886491
ENSG00000121900	TMEM54	32901389
ENSG00000143222	UFC1	161153978
ENSG00000143224	PPOX	161166426
ENSG00000158850	B4GALT3	161177507
ENSG00000158859	ADAMTS4	161199054
ENSG00000158869	FCER1G	161215295
ENSG00000158874	APOA2	161223628
ENSG00000158882	TOMM40L	161226060
ENSG00000143257	NR1I3	161238203
ENSG00000248485	PCP4L1	161258745
ENSG00000188931	CFAP126	161367876
ENSG00000265107	GJA5	147760602
ENSG00000121634	GJA8	147902795
ENSG00000188092	GPR89B	147928420
ENSG00000116688	MFN2	11980444
ENSG00000188800	TMCO2	40247937
ENSG00000084073	ZMPSTE24	40258236
ENSG00000049089	COL9A2	40317286
ENSG00000187801	ZFP69B	40450476
ENSG00000158887	MPZ	161309968
ENSG00000117640	MTFR1L	25819954
ENSG00000127423	AUNIP	25859457
ENSG00000182749	PAQR7	25875708
ENSG00000117632	STMN1	25906419
ENSG00000126106	TMEM53	44674481
ENSG00000198520	ARMH1	44674714
ENSG00000142945	KIF2C	44739837
ENSG00000142937	RPS8	44775540
ENSG00000142959	BEST4	44788170
ENSG00000173846	PLK3	44800377
ENSG00000117425	PTCH2	44843253
ENSG00000070785	EIF2B3	44986595
ENSG00000126107	HECTD3	45011324
ENSG00000126088	UROD	45012254
ENSG00000162408	NOL9	6554513
ENSG00000173662	TAS1R1	6555307
ENSG00000204859	ZBTB48	6579994
ENSG00000288629		89579592
ENSG00000171488	LRRC8C	89633120
ENSG00000070886	EPHA8	22563489
ENSG00000119285	HEATR1	236604516
ENSG00000244020	MT1HL1	237004441
ENSG00000117758	STX12	27773219
ENSG00000117751	PPP1R8	27830782
ENSG00000130775	THEMIS2	27872544
ENSG00000117748	RPA2	27914575
ENSG00000117122	MFAP2	16980620
ENSG00000159363	ATP13A2	17011928
ENSG00000117115	PADI2	17119451
ENSG00000142623	PADI1	17205128
ENSG00000142619	PADI3	17249098
ENSG00000142871	CCN1	85580761
ENSG00000143512	HHIPL2	222548104
ENSG00000143498	TAF1A	222589933
ENSG00000154305	MIA3	222618097
ENSG00000186063	AIDA	222712491
ENSG00000162819	BROX	222712564
ENSG00000187554	TLR5	223143248
ENSG00000164010	ERMAP	42817122
ENSG00000164011	ZNF691	42846613
ENSG00000154309	DISP1	222815039
ENSG00000203857	HSD3B1	119507210
ENSG00000143067	ZNF697	119648266
ENSG00000134240	HMGCS2	119768905
ENSG00000134193	REG4	119811460
ENSG00000134249	ADAM30	119896515
ENSG00000092621	PHGDH	119711934
ENSG00000027644	INSRR	156859117
ENSG00000130764	LRRC47	3796498
ENSG00000284770	TBCE	235367427
ENSG00000198837	DENND4B	153946718
ENSG00000160741	CRTC2	153958612
ENSG00000143578	CREB3L4	153967902
ENSG00000143543	JTB	153977674
ENSG00000143545	RAB13	153986339
ENSG00000177954	RPS27	153990762
ENSG00000162642	C1orf52	85259662
ENSG00000116198	CEP104	3857211
ENSG00000169598	DFFB	3857476
ENSG00000288626		147611590
ENSG00000162836	ACP6	147670524
ENSG00000116667	C1orf21	184387029
ENSG00000125945	ZNF436	23369836
ENSG00000204219	TCEA3	23424748
ENSG00000162885	B3GALNT2	235504452
ENSG00000173110	HSPA6	161524540
ENSG00000143125	PROK1	110451149
ENSG00000143105	KCNA10	110519175
ENSG00000177301	KCNA2	110606358
ENSG00000160752	FDPS	155308866
ENSG00000121957	GPSM2	108876985
ENSG00000188396	DYNLT4	44807351
ENSG00000082482	KCNK2	215082737
ENSG00000116747	RO60	193059612
ENSG00000134207	SYT6	114153869
ENSG00000163467	TSACC	156338526
ENSG00000243710	CFAP57	43172330
ENSG00000117395	EBNA1BP2	43172290
ENSG00000116874	WARS2	119140653
ENSG00000065600	PACC1	212414886
ENSG00000009780	FAM76A	27725961
ENSG00000023572	GLRX2	193105414
ENSG00000134644	PUM1	31065717
ENSG00000215788	TNFRSF25	6466173
ENSG00000117625	RCOR3	211259366
ENSG00000179902	CFAP276	109112747
ENSG00000121766	ZCCHC17	31297032
ENSG00000143157	POGK	166839475
ENSG00000160781	PAQR6	156248056
ENSG00000143344	RGL1	183805120
ENSG00000116882	HAO2	119368785
ENSG00000142856	ITGB3BP	63523225
ENSG00000158022	TRIM63	26067630
ENSG00000116396	KCNC4	110210314
ENSG00000163875	MEAF6	37514766
ENSG00000282872	C1orf232	26168963
ENSG00000131238	PPT1	40097252
ENSG00000171680	PLEKHG5	6491667
ENSG00000116977	LGALS8	236523982
ENSG00000242485	MRPL20	1407293
ENSG00000179403	VWA1	1435690
ENSG00000215915	ATAD3C	1449689
ENSG00000135776	ABCB10	229558707
ENSG00000135763	URB2	229626247
ENSG00000178828	RNF186	19815283
ENSG00000169914	OTUD3	19882395
ENSG00000188784	PLA2G2E	19923617
ENSG00000177186	OR2M7	248324568
ENSG00000177174	OR14C36	248348775
ENSG00000162456	KNCN	46551647
ENSG00000079277	MKNK1	46604268
ENSG00000117407	ARTN	43933801
ENSG00000117408	IPO13	43946950
ENSG00000117410	ATP6V0B	43974960
ENSG00000159214	CCDC24	43991599
ENSG00000196517	SLC6A9	44031462
ENSG00000196539	OR2T3	248473351
ENSG00000203661	OR2T5	248488589
ENSG00000183310	OR2T34	248574757
ENSG00000189181	OR14I1	248682328
ENSG00000187238	LCE3B	152613811
ENSG00000185962	LCE3A	152623103
ENSG00000187223	LCE2D	152663380
ENSG00000159455	LCE2B	152686123
ENSG00000187173	LCE2A	152698345
ENSG00000204501	PRAMEF15	13315581
ENSG00000204481	PRAMEF14	13347134
ENSG00000204479	PRAMEF17	13389632
ENSG00000172031	EPHX4	92029985
ENSG00000228594	FNDC10	1600135
ENSG00000189409	MMP23B	1632173
ENSG00000189339	SLC35E2B	1692795
ENSG00000008128	CDK11A	1724357
ENSG00000008130	NADK	1778470
ENSG00000178821	TMEM52	1919279
ENSG00000158477	CD1A	158254424
ENSG00000158481	CD1C	158289923
ENSG00000158485	CD1B	158331531
ENSG00000158488	CD1E	158353894
ENSG00000186306	OR10T2	158399466
ENSG00000117505	DR1	93345907
ENSG00000162889	MAPKAPK2	206684905
ENSG00000162892	IL24	206897443
ENSG00000162894	FCMR	206921941
ENSG00000162896	PIGR	206946466
ENSG00000162897	FCAMR	206970460
ENSG00000182795	C1orf116	207032756
ENSG00000198890	PRMT6	107056674
ENSG00000142669	SH3BGRL3	26280086
ENSG00000169442	CD52	26317958
ENSG00000176083	ZNF683	26372750
ENSG00000142910	TINAGL1	31576515
ENSG00000162517	PEF1	31644876
ENSG00000085840	ORC1	52404423
ENSG00000143751	SDE2	225999343
ENSG00000163041	H3-3A	226062716
ENSG00000182827	ACBD3	226186741
ENSG00000185155	MIXL1	226223664
ENSG00000143748	NVL	224330172
ENSG00000143771	CNIH4	224356879
ENSG00000183682	BMP8A	39491636
ENSG00000163909	HEYL	39639643
ENSG00000116983	HPCAL4	39691433
ENSG00000090621	PABPC4	39576790
ENSG00000143369	ECM1	150508109
ENSG00000143420	ENSA	150629612
ENSG00000143457	GOLPH3L	150697154
ENSG00000143452	HORMAD1	150720895
ENSG00000143384	MCL1	150579610
ENSG00000154342	WNT3A	228006998
ENSG00000143793	C1orf35	228103325
ENSG00000162910	MRPL55	228109299
ENSG00000198835	GJC2	228149930
ENSG00000181873	IBA57	228165804
ENSG00000154370	TRIM11	228406835
ENSG00000162931	TRIM17	228416861
ENSG00000171960	PPIH	42658423
ENSG00000065978	YBX1	42682418
ENSG00000164007	CLDN19	42740236
ENSG00000117385	P3H1	42767028
ENSG00000001460	STPG1	24413782
ENSG00000001461	NIPAL3	24415802
ENSG00000117602	RCAN3	24502836
ENSG00000184454	NCMAP	24556087
ENSG00000116539	ASH1L	155562803
ENSG00000084652	TXLNA	32179675
ENSG00000160051	IQCC	32205671
ENSG00000183615	FAM167B	32247222
ENSG00000116478	HDAC1	32292083
ENSG00000175130	MARCKSL1	32336233
